master_metadata_album_artist_name,master_metadata_track_name,danceability,energy,valence,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,key
Takeoff,Infatuation,0.882,0.375,0.6559999999999999,-11.342,0.0,0.207,0.355,7.699999999999999e-06,0.327,120.055,3.0
Working on Dying,SRT,,,,,,,,,,,
Joey Bada$$,DEVASTATED,0.8370000000000001,0.481,0.578,-8.522,0.0,0.0801,0.12,0.0,0.309,122.98,10.0
Future,All Bad (feat. Lil Uzi Vert),0.931,0.667,0.667,-7.042999999999999,0.0,0.318,0.0144,0.0,0.15,142.039,6.0
Lil Yachty,Top Down,,,,,,,,,,,
Future,Ain't Livin Right (feat. Gunna),,,,,,,,,,,
iann dior,gone girl,0.677,0.7140000000000001,0.355,-5.6370000000000005,1.0,0.0287,0.162,0.0,0.0717,189.912,11.0
iann dior,Prospect (ft. Lil Baby),0.816,0.579,0.43,-6.097,1.0,0.0867,0.203,0.0,0.127,120.078,1.0
Playboi Carti,R.I.P.,0.725,0.725,0.515,-6.067,0.0,0.159,0.0119,0.0,0.086,140.003,8.0
Young Nudy,EA (feat. 21 Savage),,,,,,,,,,,
DJ Scheme,Buck 50,,,,,,,,,,,
Young Nudy,Child's Play (feat. 21 Savage),,,,,,,,,,,
Giveon,Still Your Best,,,,,,,,,,,
Lil Baby,We Should (feat. Young Thug),0.562,0.604,0.562,-7.497999999999999,0.0,0.1969999999999999,0.326,0.0,0.416,83.355,9.0
Don Toliver,Video Girl,,,,,,,,,,,
Nether.,Cartier,,,,,,,,,,,
Trippie Redd,Miss The Rage (feat. Playboi Carti),,,,,,,,,,,
Cochise,Tell Em,,,,,,,,,,,
Playboi Carti,Place,,,,,,,,,,,
Lil Uzi Vert,Yessirskiii,0.895,0.7390000000000001,0.763,-6.632999999999999,1.0,0.283,0.0183,7.61e-06,0.102,140.007,8.0
Stunna 4 Vegas,DO DAT (feat. DaBaby & Lil Baby),,,,,,,,,,,
Polo G,Flex (feat. Juice WRLD),0.752,0.6729999999999999,0.35,-5.792000000000001,0.0,0.153,0.0538,0.0,0.133,164.009,10.0
Drake,Wants and Needs (feat. Lil Baby),,,,,,,,,,,
The Kid LAROI,I WISH,0.669,0.809,0.5720000000000001,-7.146,1.0,0.147,0.00137,0.0,0.38,195.77,7.0
Young Stoner Life,Slatty (feat. Yak Gotti & Lil Duke),,,,,,,,,,,
Trippie Redd,Everything BoZ,,,,,,,,,,,
21 Savage,Immortal,0.5539999999999999,0.799,0.237,-4.082,0.0,0.098,0.0008349999999999,0.755,0.3279999999999999,153.97,9.0
Trippie Redd,Kid That Kidd (feat. Future and Doe Boy),0.618,0.4,0.133,-9.776,1.0,0.0734,0.000235,0.0,0.738,75.047,1.0
21 Savage,Said N Done,0.775,0.5660000000000001,0.479,-6.6610000000000005,1.0,0.283,0.0381,0.000341,0.127,160.351,11.0
SSGKobe,Capsules,,,,,,,,,,,
Don Toliver,Issues,0.6679999999999999,0.638,0.467,-7.871,0.0,0.0282,0.00281,0.0,0.0889,120.009,0.0
Lil Uzi Vert,Venetia,0.775,0.757,0.562,-4.138999999999999,1.0,0.175,0.162,0.0,0.148,142.933,9.0
Don Toliver,What You Need,0.537,0.647,0.155,-7.566,0.0,0.0414,0.0044399999999999,0.0,0.139,165.94099999999997,7.0
Pi’erre Bourne,Sossboy 2 (feat. Lil Uzi Vert),,,,,,,,,,,
21 Savage,a lot,0.8370000000000001,0.636,0.2739999999999999,-7.643,1.0,0.086,0.0395,0.00125,0.342,145.972,1.0
Chance the Rapper,Good Ass Intro,0.605,0.731,0.672,-8.127,0.0,0.291,0.0644,2.7000000000000004e-06,0.331,159.686,1.0
Kanye West,Good Life,0.797,0.515,0.2789999999999999,-9.115,0.0,0.0974,0.0406,0.0,0.0926,180.024,1.0
DJ Scheme,E-ER (feat. Lil Yachty),,,,,,,,,,,
Ski Mask The Slump God,Catch Me Outside,0.939,0.659,0.6809999999999999,-6.124,1.0,0.249,0.159,0.0,0.276,111.999,7.0
