master_metadata_album_artist_name,master_metadata_track_name
Takeoff,Infatuation
Working on Dying,SRT
Joey Bada$$,DEVASTATED
Future,All Bad (feat. Lil Uzi Vert)
Lil Yachty,Top Down
Future,Ain't Livin Right (feat. Gunna)
iann dior,gone girl
iann dior,Prospect (ft. Lil Baby)
Playboi Carti,R.I.P.
Young Nudy,EA (feat. 21 Savage)
DJ Scheme,Buck 50
Young Nudy,Child's Play (feat. 21 Savage)
Giveon,Still Your Best
Lil Baby,We Should (feat. Young Thug)
Don Toliver,Video Girl
Nether.,Cartier
Trippie Redd,Miss The Rage (feat. Playboi Carti)
Cochise,Tell Em
Playboi Carti,Place
Lil Uzi Vert,Yessirskiii
Stunna 4 Vegas,DO DAT (feat. DaBaby & Lil Baby)
Polo G,Flex (feat. Juice WRLD)
Drake,Wants and Needs (feat. Lil Baby)
The Kid LAROI,I WISH
Young Stoner Life,Slatty (feat. Yak Gotti & Lil Duke)
Trippie Redd,Everything BoZ
21 Savage,Immortal
Trippie Redd,Kid That Kidd (feat. Future and Doe Boy)
21 Savage,Said N Done
SSGKobe,Capsules
Don Toliver,Issues
Lil Uzi Vert,Venetia
Don Toliver,What You Need
Pi’erre Bourne,Sossboy 2 (feat. Lil Uzi Vert)
21 Savage,a lot
Chance the Rapper,Good Ass Intro
Kanye West,Good Life
DJ Scheme,E-ER (feat. Lil Yachty)
Ski Mask The Slump God,Catch Me Outside
iann dior,Good Day
DJ Scheme,Thor's Hammer Worthy (feat. ZillaKami)
Danny Towers,Who He (feat. Ski Mask the Slump God & 10k.Caash)
DooWop,Cap Flow
Lil Nas X,Rodeo
Lil Keed,Real Hood Baby (feat. Stickbaby)
Young Stoner Life,"Warrior (feat. T-Shyne, Lil Keed & Big Sean)"
24kGoldn,The Top
Lil Uzi Vert,Wassup (feat. Future)
xeratti,Rentals
GoldLink,Crew (feat. Brent Faiyaz & Shy Glizzy)
Young Nudy,Call Dat Bitch Homicide
Tm88,Slayerr
Juice WRLD,Maze
Pi’erre Bourne,Switching Lanes (feat. Playboi Carti)
Shabazz PBG,Shells
Lil Mosey,Stuck In A Dream (feat. Gunna)
Juice WRLD,Tell Me U Luv Me (with Trippie Redd)
iann dior,emotions
Cordae,Broke As Fuck
Playboi Carti,Rockstar Made
Lil Skies,I
Future,I Don’t Wanna Break Up
Brent Faiyaz,Bluffin
Brent Faiyaz,Skyline
PARTYNEXTDOOR,EYE ON IT
PARTYNEXTDOOR,THE NEWS
Giveon,Like I Want You
Giveon,The Beach
PARTYNEXTDOOR,Come and See Me (feat. Drake)
PARTYNEXTDOOR,SHOWING YOU
Two Door Cinema Club,What You Know
Trippie Redd,Excitement
Billie Eilish,ocean eyes
PARTYNEXTDOOR,BELIEVE IT
Giveon,World We Created
Giveon,Fields
PARTYNEXTDOOR,TURN UP
Giveon,All To Me
Giveon,Heartbreak Anniversary
Giveon,Stuck On You
Giveon,This Ain't Love
PARTYNEXTDOOR,THINGS & SUCH
dvsn,Friends (feat. PARTYNEXTDOOR)
Brent Faiyaz,Clouded
PARTYNEXTDOOR,TOUCH ME
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon)
Gunna,DOLLAZ ON MY HEAD (feat. Young Thug)
Ski Mask The Slump God,COOLEST MONKEY IN THE JUNGLE
21 Savage,Bad Guy
21 Savage,Spiral
Moneybagg Yo,Time Today
Ski Mask The Slump God,The Human Centipede
Young Nudy,Shotta (feat. Megan Thee Stallion)
NAV,Friends & Family
KIDS SEE GHOSTS,Freeee (Ghost Town Pt. 2)
iann dior,Sick and Tired (ft. Machine Gun Kelly and Travis Barker)
Gunna,ARGENTINA
Gunna,Who You Foolin
Lil Baby,Low Down
Lil Baby,No Sucker (feat. Moneybagg Yo)
Ski Mask The Slump God,Carbonated Water
MadeinTYO,Skateboard P (feat. Big Sean)
Lil Yachty,Demon Time (Lil Yachty feat. Draft Day)
21 Savage,RIP Luv
Ski Mask The Slump God,Get Geeked
Big Sean,Harder Than My Demons
Juice WRLD,Fighting Demons
21 Savage,Glock In My Lap
Lil Yachty,Never Did Coke (feat. Swae Lee)
Trippie Redd,Chosen
SSGKobe,Condo
Ski Mask The Slump God,Adults Swim
Generation 1,CANCUN
Lil Uzi Vert,Silly Watch
Kanye West,Monster
DJ Scheme,Baby (feat. iann dior)
Trippie Redd,Personal Favorite (feat. Rich The Kid)
Gunna,GIMMICK
Lil Tecca,Dolly (with Lil Uzi Vert)
Internet Money,Lemonade
Lil Yachty,Hit Bout It
Cordae,Wassup (feat. Young Thug)
Lil Baby,2040
Lil Tecca,NEVER LEFT
Lil Uzi Vert,Loaded
Juice WRLD,Bad Boy (with Young Thug)
MoneyMarr,Mix It
Lil Tecca,Sidenote
The Weeknd,Secrets
NAV,Recap (feat. Don Toliver)
Young Nudy,F*** Me Mean
DaBaby,ROCKSTAR (feat. Roddy Ricch)
Lil Tecca,Show Me Up
Lil Uzi Vert,Pretty Mami
Ugly God,Leave A Tip
Don Toliver,2 Lil Shorty
Lil Uzi Vert,Homecoming
Aminé,Compensating (feat. Young Thug)
DJ Khaled,WE GOING CRAZY (feat. H.E.R. & Migos)
Cordae,Gifted (feat. Roddy Ricch)
Gunna,SUN CAME OUT
Lil Uzi Vert,Neon Guts (feat. Pharrell Williams)
21 Savage,Mr. Right Now (feat. Drake)
Young Stoner Life,Ski
Ethereal,Beef
Cordae,Way Back Home (feat. Ty Dolla $ign)
Cordae,Wintertime
Migos,Bad and Boujee (feat. Lil Uzi Vert)
Don Toliver,Cardigan
Playboi Carti,FlatBed Freestyle
Drake,When To Say When
G Herbo,In This Bitch
ILLENIUM,First Time
iann dior,what is real
Post Malone,Circles
Kanye West,Champion
24kGoldn,Company (feat. Future)
Lil Uzi Vert,444+222
Bernard Jabs,Come Again (feat. iann dior)
Giveon,Last Time (feat. Snoh Aalegra)
Trippie Redd,SWIMMING
Travis Scott,Nightcrawler (feat. Swae Lee & Chief Keef)
24kGoldn,Butterflies
Clean Bandit,Higher (feat. iann dior)
Lil Tecca,Miss Me
Lil Yachty,SB5 (feat. Sada Baby)
Playboi Carti,wokeuplikethis*
iann dior,Holding On
Gunna,MET GALA
Chance the Rapper,Smoke Again
Young Thug,I'm Scared (feat. 21 Savage & Doe Boy)
iann dior,shots in the dark (with Trippie Redd)
Juice WRLD,Man Of The Year
Young Nudy,No Comprende
Playboi Carti,Shoota (feat. Lil Uzi Vert)
DJ Khaled,"BODY IN MOTION (feat. Bryson Tiller, Lil Baby & Roddy Ricch)"
Lil Tecca,Glo Up
Future,Million Dollar Play
Migos,Straightenin
Tory Lanez,FeRRis WhEEL (feat. Trippie Redd)
Migos,Vaccine
Ski Mask The Slump God,Faucet Failure
Ski Mask The Slump God,Like A Soccer Mom
Don Toliver,Mamma Mia
Migos,Antisocial (feat. Juice WRLD)
Migos,Having Our Way (feat. Drake)
Migos,Modern Day
Migos,Jane
Migos,Avalanche
Young Stoner Life,Came Out (feat. Lil Keed)
Migos,Malibu (feat. Polo G)
Migos,Roadrunner
Migos,Type Shit (feat. Cardi B)
Migos,Birthday
Playboi Carti,New N3on
Migos,Picasso (feat. Future)
Lil Uzi Vert,How to Talk
Cochise,Dig Me Freestyle
Migos,What You See (feat. Justin Bieber)
Don Toliver,After Party
Juice WRLD,Life's A Mess (feat. Halsey)
Young Nudy,Dispatch (feat. DaBaby)
Young Thug,Hot (feat. Gunna)
Drake,What’s Next
Young Stoner Life,Diamonds Dancing (feat. Travis Scott)
iann dior,Paradise
Lil Tecca,Love Me
Lil Jojo,Tied Up
Karimmokka,Light
Playboi Carti,Not PLaying
Lil Uzi Vert,Lo Mein
The Kid LAROI,Diva (feat. Lil Tecca)
Dreamville,Under The Sun (with J. Cole & Lute feat. DaBaby)
Trippie Redd,FEMALE SHARK
24kGoldn,Mood (feat. iann dior)
Masego,Mystery Lady (feat. Don Toliver)
Playboi Carti,Location
Young Nudy,2Face (feat. G Herbo)
24kGoldn,Don't Sleep
Future,Fine China
iann dior,don't want to fall
24kGoldn,Love Or Lust
The Kid LAROI,SELFISH
Post Malone,I Know
Cordae,Thornton Street
Don Toliver,Drugs N Hella Melodies (feat. Kali Uchis)
Travis Scott,Watch (feat. Lil Uzi Vert & Kanye West)
Big Sean,The Baddest
Lil Uzi Vert,Prices
Lil Uzi Vert,Feelings Mutual
Lil Keed,Million Dollar Mansion (feat. Young Thug)
Playboi Carti,Control
Lil Yachty,COUNT ME IN
JACKBOYS,OUT WEST (feat. Young Thug)
Future,Tic Tac
TWENTY88,Time In
24kGoldn,Yellow Lights
DaBaby,CAN'T STOP
DJ Scheme,Hey Mister (feat. Ski Mask The Slump God)
Juice WRLD,Armed And Dangerous
Lil Yachty,Up Next 3
Quality Control,100 Racks (Offset feat. Playboi Carti)
Kid Cudi,The Pale Moonlight
Lil Yachty,"This That One (feat. Krispy Life Kidd, Veeze, Slap Savage, YN Jay, Louie Ray"
Stunna 4 Vegas,UP THE SMOKE (with Offset)
Lil Uzi Vert,Lullaby
Future,Solitaires (feat. Travis Scott)
Metro Boomin,Space Cadet (feat. Gunna)
Trippie Redd,How I Was Raised
Trippie Redd,Til The End of Time
Kid Cudi,Rockstar Knights (with Trippie Redd)
Quality Control,"Killin' Time (Lil Yachty feat. Offset, Mango Foo)"
Gunna,Cash War
Lil Uzi Vert,Early 20 Rager
Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.)
Playboi Carti,Pull Up
Cordae,Lost & Found
Gucci Mane,Shit Crazy (feat. BIG30)
iann dior,don't wanna believe
Gunna,STREET SWEEPER (feat. Future)
Lil Tecca,Senorita
Don Toliver,Heaven or Hell
Lil Yachty,DAS CAP
Lil Skies,Flooded
Lil Baby,Life Goes On
Lil Yachty,We Outta Here! (feat. Young Nudy)
DaBaby,TOES (feat. Lil Baby & Moneybagg Yo)
Travis Scott,HIGHEST IN THE ROOM
Lil Uzi Vert,New Patek
Young Stoner Life,Real (feat. Unfoonk)
Gunna,200 FOR LUNCH
Lil Tecca,Phenom
J. Cole,a p p l y i n g . p r e s s u r e
Kid Cudi,Lovin’ Me (feat. Phoebe Bridgers)
NAV,Status (feat. Lil Uzi Vert)
Lil Uzi Vert,Money Spread (feat. Young Nudy)
Gunna,Helluva Price
Playboi Carti,dothatshit!
Lil Uzi Vert,Bean (Kobe) [feat. Chief Keef]
Ski Mask The Slump God,DoIHaveTheSause?
Trippie Redd,The Nether
Internet Money,JLO (feat. Lil Tecca)
Trippie Redd,RMP
Lil Tecca,Amigo
Moneybagg Yo,One Of Dem Nights (with Jhené Aiko)
DaBaby,Baby Sitter (feat. Offset)
Playboi Carti,M3tamorphosis (feat. Kid Cudi)
